definition,word,author,tags,up,down,date
When your head bobs around when you about to fall asleep when sitting upright.  It is given this name because it looks like you're driving offroad.  ,four-wheeling,Bryan Fox,"[u'#sleep', u'#sleepy', u'#bobbing', u'#headbob', u'#tired']",1911,1165,"January 31, 2006"
"A businessman who is looking to buy companies at giveaway prices, as opposed to venture capitalists.",Vulture Capitalist,Harry Food Tech,"[u'#venture capitalist', u'#leach', u'#vulture', u'#scavenger', u'#fire sale']",5018,1890,"May 14, 2009"
"Romantic comedy or romcom specifically geared toward moms. Most mere mortals will not understand momcoms without a mom to translate the comedy for them. Momcommers will say things such as, ""You wouldn't get it, you're not a mom"" or ""I guess I just really got the comedy because I am a mom""",mom-com,MaryOnegative,"[u'#mom-com', u'#comedy', u'#mom', u'#moms', u'#romantic comedy', u'#romcom']",6190,8239,"May 29, 2014"
"What a man does to maintain his erection, usually while waiting for more porn to load or doing something else.",maintenance strokes,home movies,"[u'#maintenince', u'#strokes', u'#maintenace', u'#masturbation', u'#erection', u'#porn']",12745,7159,"October 31, 2014"
"A friend, maybe a best friend, who you get into trouble with and who is somewhat responsible for your actions.",accountabilabuddy,zak meade,"[u'#friend', u'#account', u'#trouble', u'#actions', u'#somewhat']",3468,1794,"April 24, 2007"
A big ol pupper.,doggo,VictorLictor,[u'#pupper'],4248,1534,"June 22, 2016"
"The process by which a song's title is inferred through the lyrics, even though the actual title of the song is different.Named after the song ""Bring Me To Life"" by Evanescence, which many nimrods erroneously believe to be called ""Wake Me Up Inside."" However, this phenomenon is not limited to this song only.","""Wake Me Up Inside"" syndrome",TheBeigeDolphin,"[u'#bring me to life', u'#wake me up inside', u'#evanescence']",1930,878,"October 15, 2016"
"T-Rex sex is a loud, passionate and savage encounter.",T-Rex sex,Wreckerrr,[u'#vigorous sex'],2908,778,"October 15, 2016"
Verb: To scroll through all of your personal email and social media on your couch or bean bag at the end of a hard day. You find this to be an effective way to decompress or chill.,Scrollaxing,Harry Duh Hound Dog,[],2441,562,"July 26, 2016"
"A prerecorded call that is sent to hundreds or thousands of telephone numbers. An automatic dialing computer goes through a targeted list of phone numbers. Or: an individual call received.",robocall,vanilla g-lotto,[],4300,1734,"December 19, 2004"
"A conspiracy theorist who believes that Barack Obama is ineligible for the Presidency of the United States, based on any number of claims related to his place of birth, birth certificate, favorite birthday, or whether or not he has heard the song Africa by Toto.",Birther,Brent Elliott,"[u'#barack', u'#obama', u'#president', u'#birth', u'#conspiracy']",11273,8340,"December 08, 2008"
"Having a violent accident so bad, it's obvious from afar that all of your bones are broken",he need some milk,Rohneous,[],4646,1689,"October 22, 2015"
"1.	An unintentionally inaccurate statement or idea; possibly common and often used.2.	A pervasive disorder, characterized by a tendency to make inaccurate statements.",inaccurism,TerryA,[],1116,569,"October 10, 2016"
The noise someone makes when they want to let you know they are in a bathroom stall,Stall Sniffle,Vjax,[],2794,579,"October 09, 2016"
Something that Donald Trump enjoys doing.,grab them by the pussy,anonymous,"[u'#pussy', u'#trump', u'#donald', u'#women', u'#sexism']",5760,2330,"October 07, 2016"
"An insincere apology or expression of regret, often blaming the aggrieved party for being offended or bringing up an irrelevant topic to distract.",nonpology,stogoe,"[u'#excuses', u'#wimpy', u'#blame the victim', u'#insincere', u'#don imus']",3633,1283,"April 24, 2007"
(merf) noun. acronym for Mom I'd Run From. The opposite of a MILF. A mom you definitely would not want to do.,MIRF,pose2pose,"[u'#milf', u'#ugly mom', u'#run from', u'#scary woman', u'#unattractive mom']",7855,2971,"October 29, 2006"
The act of looking up the definition of a word.,Dictionaried,King Ani Mal,[],2157,1403,"October 04, 2016"
A unique and powerfull relationship amongst bros that words cannot define.,bromosexual,AGBoss,"[u'#bro', u'#sexual', u'#homosexual', u'#bros', u'#sex', u'#friendship', u'#friend', u'#life', u'#god', u'#power', u'#gay', u'#frat', u'#penis', u'#testicles', u'#vagina', u'#goatsy']",3673,980,"May 12, 2009"
"The gradual conversion of your wealth and possessions to the government, through taxes, inflation and unjust laws. ",financial erosion,Stephan Smolka,"[u'#conversion', u'#inflation', u'#taxes', u'#debt', u'#slavery', u'#freedom']",2143,712,"January 06, 2009"
"Early morning tweeting that is vengeful, mean, or defamatory-- ideally laced with falsehood and innuendo.",Trumper Tantrum,Neologian-PJG,[],3106,2926,"October 02, 2016"
When someone is only a dick to certain people,Selective Dickism,Roadhouse2769,[],4986,654,"October 01, 2016"
"Synonymous to comfort food, comfort cartoon provides feelings of nostalgia and sentimentality towards the viewers. The type of animation tends to be stylized and visually appealing: over or under saturation of colours, ""incorrect"" motion etc.The storylines tend to be rich with lessons and underlying meanings (nutrients) or sometimes it's just for pure fun and joy (carbs).Popular examples would be: Classic Looney Tunes, B&W Mickey Mouse, retro Disney (70's or 80's classics).",comfort cartoon,larranima,[],1801,488,"September 25, 2016"
"the act of excreting racist, sexist, homophobic, theocratic, fascist rhetoric from one's oral sphincter; esp. in the presence of large groups of like-minded, gullible, and/or easily influenced/manipulated individuals",take a trump,cowardly_pigeon,[],4202,4848,"January 27, 2016"
Asking your homie to hook you up with his girlfriends best friend.,put me in the car,Sky the P,"[u'#put me in the car', u'#pimp', u'#plug me', u'#hook me up', u'#im tryna fuck with her']",7618,8511,"June 27, 2015"
"Manterrupting: a sexist display of male ""dominance"". A trait that has not yet been lost despite decades of evolution. When men interrupt women because they ""believe"" that what they have to say is somehow more important.",manterrupting,FeministMiss,[],2639,7623,"January 16, 2016"
"When you are flying in the coach section of an airplane and one or both of the other two seats are unoccupied giving you more room, to stretch, lean or lie down.",Redneck First Class,fetmeister,"[u'#first class', u'#redneck', u'#air travel', u'#coach', u'#plane']",11526,2025,"February 11, 2009"
1. Having no intention of following thru on a date or promise2. A sarcastic way of accepting a date.3. Accepting a date only to mock the requester.,Pencil you into my Blackberry,Dayznout,"[u'#pencil', u'#blackberry', u'#decline', u'#sarcasm', u'#mocking', u'#rejection']",3387,5709,"February 28, 2012"
Toking up right after you wake up.,wake and bake,Anonymous,[],7175,2051,"July 02, 2003"
when someone disrespects your manhood.,steppin on my dick,Passing,"[u'#put on blast', u'#blasting', u'#insulting', u'#punk', u'#bitch']",14308,8172,"July 16, 2014"
No Fucking Idea,nfi,KGB,[],6262,1713,"July 10, 2002"
"When a man sleeps with a single mother with a small child. Also, when a man expresses false adornment for a women's child in order to sleep with her.",Shoplift the Pooty,Magikman,[],3159,6940,"May 28, 2004"
A far more severe muffin top where several folds of fat spills over a women's pants creating various nooks and crannies.,english muffin top,ilackabettername,"[u'#muffin top', u'#fat', u'#english', u'#pants', u'#muffin']",4038,1759,"August 03, 2012"
When a female you are interested in casually reveals that she has a boyfriend (intentionally or otherwise).,boyfriend bomb,nomes,"[u'#boyfriend', u'#dating', u'#girls', u'#women', u'#revelation']",7783,1183,"December 21, 2005"
A variation of see you later alligator,See you later masturbator,mcrobster,"[u'#alligator', u'#see', u'#you', u'#later', u'#masturbator']",17138,7421,"October 10, 2009"
"Something that is sexually desirable, or deemed high enough quality that it can be used for masturbation purposes.",fappable,L.K Winters,"[u'#masturbation', u'#church', u'#fap', u'#fapable', u'#sex']",11661,4193,"July 24, 2006"
"to lecture about social injustice, while doing little to create change.",jabber woke,Oops11,[],2430,1386,"September 16, 2016"
a feeling that one is in the body of the wrong species,species dysphoria,brainyuck,"[u'#body', u'#human', u'#animal', u'#bird', u'#mistake']",4326,6523,"June 16, 2015"
An fool who believes all information found on Wikipedia is accurate and true.  ,wikiot,delehusr,"[u'#wikipedia', u'#wikiot', u'#idiot', u'#fool', u'#gulliable']",5581,6423,"April 13, 2007"
The immediately preceding statement is false and was told to mislead.,sike,iwastoodrunk,[],8313,4344,"March 29, 2004"
noun:  a pornographic Christmas ornament.,pornament,Katie Oh!,"[u'#pornographic', u'#ornaments', u'#wwjnd', u'#anti-christmas', u'#bah humbug']",6638,2820,"December 04, 2006"
A form of punishment wherein an employee fucks up beyond the reprimand of a warning and is put on a disciplinary leave of absence with or without pay.,Shamecation,DocLoLiday,"[u'#vacation', u'#disciplinary leave', u'#suspension', u'#staycation', u'#absence']",2375,1679,"June 02, 2012"
A euphemistic reference to taking a massive dump. Typically the corn filled variety. But eloquently expresses any act of defecation.,Corn Art,Harry A. Nuss,"[u'#shit', u'#dump', u'#crap', u'#corn poop', u'#defecate']",1919,1098,"September 09, 2016"
"A text message containing information (usually unflattering or damaging) about a third party which is sent to the individual it concerns rather than the person for whom the communication is intended.",mistext,Dr E Short,"[u'#sexting', u'#texting', u'#text', u'#mobile', u'#sex']",7798,1440,"July 02, 2008"
"the morning after hippies or member of the 60's counter culture have made tie dyed t shirts, candles, or prayer flags",hippie christmas,dp9,[],988,1643,"May 08, 2004"
"When you go for a day or so without brushing your teeth, and the texture in your mouth feels like your teeth are wearing fuzzy little sweaters.",Tooth sweater,Cara Dee,"[u'#tooth', u'#teeth', u'#sweater', u'#plaque', u'#not brushing', u'#toothpaste', u'#poor oral hygiene']",10156,3933,"December 07, 2008"
Television channels you get without a cable or satellite TV subscription.,peasantvision,imav,[],9887,3917,"January 14, 2005"
"A person who frequently attacks others in speech or writing, but who poses no intellectual threat whatsoever.  The motivation of this type of person can usually be accurately construed as a desire to be obnoxious and offensive. Origin: The phrase ""porch dog"" is used to refer to dogs that sit on front porches and bark (vigorously and fruitlessly) at passersby, but who pose no physical threat.",porch dog,Vitruvian Man,"[u'#troll', u'#asshole', u'#whiner', u'#dickhead', u'#wanker']",4382,715,"May 19, 2006"
One that has money beyond that of a normal baller yet pays less taxes than a street pharmaceutical rep or an illegal immigrant.,Mitt Romney Money,TheQuietStormRVA,"[u'#mitt romney', u'#mr tit money', u'#mr money tit', u'#romney', u'#mitt']",4945,3786,"November 19, 2012"
"A person who holds a significant amount of money tied up in Gift Cards, Store Credit, Groupons and other forms of vouchers.",Gift Card Millionaire,Gift Card Millionaire,"[u'#gift card', u'#cheapskate', u'#groupon', u'#money', u'#millionaire']",5859,4605,"November 30, 2012"
oral sex.,orophilia,uttam maharjan,"[u'#oral sex', u'#orogenital contact', u'#foreplay', u'#coitus', u'#partner']",1707,2983,"September 15, 2010"
your baby daddy,ybd,isaac7,[],1697,3829,"June 01, 2016"
The act of pulling your dick out of your pants as a sign of respect for our nigga Harambe,Dicks out for Harambe,Poopdollarmillionaire ,[],16790,3525,"July 20, 2016"
"a spin-off of the word hardcore, used, when referring to Pornography, to refer to a movie that was made with a Shakespearean play as the original plot.",bardcore,Chrissy-D,"[u'#shakespeare', u'#porn', u'#hardcore', u'#porno', u'#pornography', u'#plays', u'#theatre']",1942,2334,"October 18, 2006"
"ripped or ""holy"" jeans. They're so holy, they're jesus jeans!",Jesus Jeans,nikkiandmorganarecool.,"[u'#bootylicious', u'#jeans', u'#holy', u'#jesus', u'#panties']",19066,7582,"June 01, 2010"
